;fa_1;cl_1;cl_2;fl_1;wh_1;wh_2;fs_1;fs_2;eo_1;eo_2;hs_1;sb_1
CZ;4;;6;0.404;17.7;7;9900;;very low;0.688;5.2;19.6
TN;1;2.1;19.6;0.766;;;259;1.1;;0.651;11.5;2.6
TR;3;5.9;4.1;0.626;;32.06;1460.5;0.1;;0.625;9.9;7.2
TM;0;0.3;4.1;0.295;;;;0.8;;;9.3;
TV;;;7.4;;;;;;;;25.6;
UG;2;16.3;22.4;0.626;;39.38;6000;22.6;;0.721;19.4;3.46
UA;3;2.4;6;0.467;;3.28;1378;0.1;;0.705;9;25
HU;4;;6;0.228;7.3;4.13;111000;;;0.67;4.2;22.6
UY;4;7.9;7.3;0.228;22.1;17.94;7920;0.2;;0.71;14;9
UZ;0;;4.1;3.973;;;96105;5.4;;;10;11.16
VU;;15.2;7.4;;;;;;;;24.8;3
VE;1;8;7.3;0.639;;6.74;2973;9.6;very low;0.706;14.6;6.85
AE;1;;2.9;0.404;;;;0;;0.649;9.8;3.76
US;3;;5.3;0.018;18.1;13.39;1257;2.3;;0.718;5;20
GB;4;;1.8;0.018;25.7;10.23;0;;;0.77;0.8;23.8
VN;0;16.4;7.4;0.152;;27.88;1150000;1.6;;0.698;26;4.9
BY;0;1.4;6;0.467;;;239;0.1;very low;0.744;9.1;8.9
CF;2;28.5;22.4;1.13;;;;78;high;;19.5;1.36
CY;4;;4.1;0.404;14.6;9.75;870;;;0.684;3;17.5
